playerID,gamesBatted,totalRBI,totalHR,gamesPitched,pitchingERA,opponentBattingAvg,gamesFielded,totalPutOut,totalGames,totalSeasons,managerWins,totalAwards,allstarAppearances,porportionalsal,class
samplbi01,826,230,46,0,0,0,712,1378,826,9,0,0,0,1.02000000,0
schaeje01,225,20,2,0,0,0,220,176,225,5,0,0,0,0.14020000,0
shousbr01,467,0,0,467,49.78000000000001,0.2742727272727273,467,34,467,10,0,0,0,0.28874286,0
teixema01,1862,1298,409,0,0,0,1816,14989,1862,14,0,9,3,4.34009286,0
telfoan01,333,3,0,333,50.4,0.29633333333333334,333,38,333,9,0,0,0,0.26633333,0
torcato01,43,3,0,0,0,0,10,8,43,4,0,0,0,0.12105000,0
whitema02,286,0,0,286,80.46000000000001,0.3008181818181818,286,30,286,11,0,0,0,0.22514286,0
schrobi01,376,152,61,0,0,0,355,1814,376,8,0,0,0,0.56013333,0
spehrti01,363,72,19,0,0,0,347,1239,363,8,0,0,0,0.16573750,0
stclara01,162,0,0,162,47.79,0.2865,162,13,162,9,0,0,0,0.22070000,0
tayloke01,37,0,0,37,14.760000000000002,0.34299999999999997,37,4,37,2,0,0,0,0.11160000,0
woodja02,153,36,5,1,0,0,96,212,153,5,0,0,0,0.13275000,0
pujolal01,2971,2150,679,0,0,0,2425,17460,2971,21,0,23,10,3.71688125,0
seleaa01,404,1,0,404,68.72999999999999,0.28640000000000004,404,119,404,15,0,0,2,1.78002857,1
tillmru01,38,9,2,0,0,0,21,23,38,3,0,0,0,0.14380000,0
valdese01,116,1,0,116,54.230000000000004,0.28622222222222227,116,29,116,8,0,0,0,0.16342857,0
venafmi01,307,0,0,307,27.730000000000004,0.27971428571428575,307,12,307,7,0,0,0,0.16996000,0
weathda01,967,4,2,964,123.44999999999999,0.27792307692307694,964,56,967,19,0,0,0,0.56442778,0
wilsoda01,1299,519,88,0,0,0,1294,8142,1299,14,0,0,1,1.18442308,0
pulsibi01,107,4,0,106,53.62999999999999,0.31925,106,12,107,6,0,0,0,0.14110000,0
reynorj01,786,294,35,0,0,0,629,1056,786,8,0,0,0,0.65460000,0
sanchlu01,194,0,0,194,18.860000000000003,0.2702,194,9,194,5,0,0,0,0.71380000,0
